Sample_ID	Sample_NMR_ID	Origin	Family#	Family	Plant_genotype	Plant_line	Treatment	Dry Mass	Name	Plant_sample	Category	a-Glucose 	b-Glucose	Alanine	Glutamate	Glutamine	Valine	Formic acid 	GABA	Choline	Adenine	Arginine	Lysine	Acetic acid	Fumaric acid	Ethanol & Ethyl - b - glucoside	Catalpol	Aucubin	Verbascoside	a-Glucose 	b-Glucose	Alanine	Glutamate	Glutamine	Valine	Formic acid 	GABA	Choline	Adenine	Arginine	Lysine	Acetic acid	Fumaric acid	Ethanol & Ethyl - b - glucoside	Catalpol	Aucubin	Verbascoside
17	154	S	F4	SF4	H9	H	NoA	0,3	SF4H9NA	NA	Larvae	0,003599252	0,005522541	0,003301785	0,00928828	0,002055015	0,001407552	0,000250795	0,002265274	0,017875636	-7,20514E-06	0,000766496	0,000891755	0,001509369	4,38704E-05	0,003411999	3,35768E-05	8,69052E-05	-0,000151658	0,003225339	0,004988167	0,000524744	0,000665267	5,83275E-05	-3,10034E-05	2,66215E-05	0	0,000696593	-5,56095E-07	6,49048E-05	0,000266231	8,76571E-05	0,002323865	3,30816E-05	0,00260351	0,001725696	0,000909395
18	155	S	F5	SF5	L4	L	A	0,2	SF5L4A	NA	Larvae	0,002920673	0,004289144	0,012494899	0,016449119	0,003168742	0,003689743	0,000269132	0,006207533	0,024224844	-4,50012E-06	0,001347314	0,002496788	0,00329758	8,22198E-05	0,00626696	-0,000247616	6,0739E-06	-7,08243E-05	0,002634367	0,003785722	0,000483821	0,001174254	8,24519E-05	4,6878E-06	1,59931E-05	0	0,001030618	1,87258E-06	0,000128408	0,00049988	0,000202875	0,001257259	0,000188853	0,002473921	0,000507819	0,003139919
19	156	E	F3	EF3	H9	H	NoA	0,8	EF3H9NA	NA	Larvae	0,00241942	0,00376226	0,00332263	0,001513464	0,000736773	0,001082799	0,000117915	0,002156322	0,005423144	2,1306E-06	0,000291316	0,00057512	0,001205486	1,17142E-05	0,001434329	-0,000107232	8,80864E-06	-6,02635E-05	0,003225339	0,004988167	0,000524744	0,000665267	5,83275E-05	-3,10034E-05	2,66215E-05	0	0,000696593	-5,56095E-07	6,49048E-05	0,000266231	8,76571E-05	0,002323865	3,30816E-05	0,00260351	0,001725696	0,000909395
20	157	E	F3	EF3	H3	H	NoA	1,8	EF3H3NA	NA	Larvae	0,000603211	0,000886865	0,001090708	0,009865124	0,000325841	0,000251313	3,90546E-05	0,000481697	0,010372655	-4,6057E-06	7,3796E-05	3,08951E-05	0,000366815	1,38951E-05	0,000523135	2,92026E-05	-7,19936E-06	-4,79473E-06	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
21	158	S	F5	SF5	L6	L	A	0,6	SF5L6A	NA	Larvae	0,000300137	0,000614173	0,004007562	0,007552475	0,001095694	0,001886977	3,47398E-05	0,002888879	0,011970789	-3,37395E-05	0,000453335	0,000917423	0,00167634	1,73379E-05	0,00159466	-0,000187263	-1,5806E-05	-2,51839E-05	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
22	159	E	F4	EF4	L7	L	A	0,7	EF4L7A	NA	Larvae	0,002544281	0,004206786	0,009549822	0,010458879	0,00100125	0,002372303	0,000106644	0,007000333	0,013759923	1,95636E-05	0,000847846	0,002759331	0,003033129	4,76707E-05	0,002083212	-0,000168415	4,65109E-05	-2,17435E-05	0,004914928	0,007809747	0,000368138	0,000763794	1,20469E-06	8,29836E-05	5,26963E-05	0	0,000710416	-5,6629E-07	2,62396E-05	6,22608E-05	0,000515409	0,001008841	9,25412E-06	0,001420067	0,000278019	0,001668105
24	161	S	F4	SF4	H2	H	NoA	0,9	SF4H2NA	NA	Larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
25	162	S	F5	SF5	H2	H	A	0,6	SF5H2A	NA	Larvae	0,002100441	0,003608877	0,005495653	0,03036797	0,00051147	0,001828708	0,000297836	0,002930938	0,016277778	-1,78432E-06	0,000161422	6,28242E-05	0,002329968	6,93393E-05	0,000792411	0,000163635	0,000245778	-4,30829E-06	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
26	163	S	F4	SF4	L7	L	NoA	0,7	SF4L7NA	NA	Larvae	0,003129583	0,005099341	0,005768653	0,026623184	0,000969118	0,001172517	0,000430689	0,002853356	0,019444478	-2,44103E-05	0,000401249	0,000254017	0,002506099	0,000115898	0,000672129	8,54085E-05	5,64909E-05	-1,05034E-05	0,004914928	0,007809747	0,000368138	0,000763794	1,20469E-06	8,29836E-05	5,26963E-05	0	0,000710416	-5,6629E-07	2,62396E-05	6,22608E-05	0,000515409	0,001008841	9,25412E-06	0,001420067	0,000278019	0,001668105
27	164	S	F4	SF4	L6	L	NoA	0,6	SF4L6NA	NA	Larvae	0,00142931	0,002362398	0,003153755	0,032220637	0,000648938	0,000939889	0,000203274	0,001545375	0,016033586	-1,14973E-07	0,000136045	4,47428E-05	0,001902757	9,08358E-06	0,001104193	6,59258E-05	8,17302E-05	-2,57462E-05	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
28	165	S	F4	SF4	H9	H	A	0,8	SF4H9A	NA	Larvae	0,000393951	0,000716607	0,005427793	0,045576506	0,000841037	0,001304025	0,000101065	0,003192957	0,019202139	-1,31044E-05	0,000256276	0,000714929	0,002413971	7,77891E-05	0,001881828	-0,000152311	-1,17973E-05	-1,77707E-05	0,003225339	0,004988167	0,000524744	0,000665267	5,83275E-05	-3,10034E-05	2,66215E-05	0	0,000696593	-5,56095E-07	6,49048E-05	0,000266231	8,76571E-05	0,002323865	3,30816E-05	0,00260351	0,001725696	0,000909395
29	166	S	F4	SF4	H3	H	A	0,5	SF4H3A	NA	Larvae	0,001449978	0,00219261	0,001592985	0,02901063	0,000625097	0,000617179	0,000207867	0,000894379	0,013371707	6,15595E-06	0,000189707	4,62949E-05	0,001384597	3,81687E-05	0,001059069	-4,13451E-07	3,07177E-05	-2,36155E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
30	167	S	F4	SF4	H2	H	A	0,5	SF4H2A	NA	Larvae	0,001688406	0,002548861	0,003427937	0,033803404	0,001075515	0,001088445	0,000296838	0,002204072	0,022376701	-8,20011E-06	0,000195993	-5,78076E-05	0,002486773	4,59417E-05	0,001300733	-0,000163356	3,08418E-05	-1,56113E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
31	168	S	F4	SF4	L7	L	A	1	SF4L7A	NA	Larvae	0,002337002	0,003623634	0,005258206	0,041363895	0,000997828	0,002064141	0,000257493	0,003758412	0,019451677	6,23276E-06	0,000292433	0,000249266	0,002715225	4,20771E-05	0,001433427	-7,99733E-05	5,85204E-05	-3,62112E-05	0,004914928	0,007809747	0,000368138	0,000763794	1,20469E-06	8,29836E-05	5,26963E-05	0	0,000710416	-5,6629E-07	2,62396E-05	6,22608E-05	0,000515409	0,001008841	9,25412E-06	0,001420067	0,000278019	0,001668105
32	169	S	F4	SF4	L6	L	A	0,4	SF4L6A	NA	Larvae	0,000258652	0,000399753	0,001674259	0,027486993	0,000555434	0,000781517	9,2837E-05	0,001640469	0,017155782	6,14016E-06	0,000134383	0,000127395	0,001471421	1,15768E-05	0,001064392	-2,9246E-05	9,64823E-06	-3,83982E-05	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
33	170	S	F3	SF3	H9	H	NoA	0,3	SF3H9NA	NA	Larvae	0,000245791	0,000575521	0,003582243	0,024519172	0,001308629	0,001177866	0,000158248	0,001940843	0,027191373	1,51984E-05	0,000175202	2,34174E-05	0,002779681	1,17162E-05	0,001668073	-6,43791E-05	2,8185E-06	-1,53926E-05	0,003225339	0,004988167	0,000524744	0,000665267	5,83275E-05	-3,10034E-05	2,66215E-05	0	0,000696593	-5,56095E-07	6,49048E-05	0,000266231	8,76571E-05	0,002323865	3,30816E-05	0,00260351	0,001725696	0,000909395
34	171	S	F3	SF3	H3	H	NoA	0,6	SF3H3NA	NA	Larvae	0,002739734	0,004133397	0,007415145	0,027941774	0,001941175	0,001347307	0,000553554	0,003450125	0,024549484	-1,27796E-05	0,000488037	0,000429893	0,003016724	4,69579E-05	0,001752038	-0,000149231	1,93203E-05	-5,71111E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
35	172	S	F3	SF3	L7	L	NoA	0,4	SF3L7NA	NA	Larvae	0,002942556	0,004634187	0,006747983	0,049934473	0,000858654	0,002397143	0,000333421	0,003282617	0,023941849	-5,88912E-06	0,000145465	0,000281462	0,001791729	3,71992E-05	0,001714788	-0,000432601	1,11882E-05	-4,57667E-05	0,004914928	0,007809747	0,000368138	0,000763794	1,20469E-06	8,29836E-05	5,26963E-05	0	0,000710416	-5,6629E-07	2,62396E-05	6,22608E-05	0,000515409	0,001008841	9,25412E-06	0,001420067	0,000278019	0,001668105
36	173	S	F3	SF3	L6	L	NoA	0,5	SF3L6NA	NA	Larvae	0,00156051	0,00243389	0,00417717	0,048537191	0,00152245	0,001018269	0,000339273	0,001711414	0,027921537	6,22687E-05	0,000294314	0,000215724	0,001555868	5,06738E-06	0,001637947	-7,20036E-05	2,40584E-05	-0,000106903	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
37	174	S	F3	SF3	H9	H	A	0,6	SF3H9A	NA	Larvae	0,000350663	0,00076956	0,004338907	0,018940846	0,001282466	0,000371455	0,000215113	0,001490899	0,020163856	-3,27778E-06	0,000164929	0,000109887	0,00149494	-1,26245E-05	0,001566121	-2,13751E-05	1,74228E-05	-4,48225E-05	0,003225339	0,004988167	0,000524744	0,000665267	5,83275E-05	-3,10034E-05	2,66215E-05	0	0,000696593	-5,56095E-07	6,49048E-05	0,000266231	8,76571E-05	0,002323865	3,30816E-05	0,00260351	0,001725696	0,000909395
38	175	S	F3	SF3	L4	L	NoA	0,6	SF3L4NA	NA	Larvae	0,000940731	0,001481881	0,00555549	0,041770148	0,000906235	0,001207127	0,000254407	0,003363357	0,025827956	1,6745E-05	0,000167311	8,36116E-05	0,002008918	5,58437E-05	0,001503547	-0,000123363	7,14007E-06	-6,37949E-05	0,002634367	0,003785722	0,000483821	0,001174254	8,24519E-05	4,6878E-06	1,59931E-05	0	0,001030618	1,87258E-06	0,000128408	0,00049988	0,000202875	0,001257259	0,000188853	0,002473921	0,000507819	0,003139919
39	176	S	F4	SF4	L4	L	NoA	0,8	SF4L4NA	NA	Larvae	0,001080198	0,001721803	0,007242951	0,054726378	0,000908873	0,003850316	0,000260513	0,003843438	0,029232144	6,96052E-06	0,000417072	0,000867289	0,002345513	3,66849E-05	0,001842566	-1,15123E-06	-1,58957E-05	-2,50933E-05	0,002634367	0,003785722	0,000483821	0,001174254	8,24519E-05	4,6878E-06	1,59931E-05	0	0,001030618	1,87258E-06	0,000128408	0,00049988	0,000202875	0,001257259	0,000188853	0,002473921	0,000507819	0,003139919
40	177	S	F3	SF3	H3	H	A	0,5	SF3H3A	NA	Larvae	0,001217264	0,001784693	0,004268661	0,033601675	0,000789182	0,001456102	0,000208424	0,003385065	0,027487505	1,35427E-05	0,000316509	0,000466891	0,002586067	1,27487E-05	0,001165976	-0,000152142	2,8677E-07	-1,62186E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
41	178	S	F3	SF3	H2	H	A	0,9	SF3H2A	NA	Larvae	0,001810938	0,002812582	0,004525337	0,047476258	0,001218649	0,002531047	0,000231174	0,00309011	0,020577991	1,30718E-05	0,000296375	0,000432133	0,001413191	5,38336E-05	0,0013154	-0,001794358	-1,7419E-05	-4,89612E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
42	179	S	F2	SF2	H9	H	NoA	0,9	SF2H9NA	NA	Larvae	0,001533843	0,002428012	0,003082133	0,036295022	0,000665865	0,000554908	0,000196133	0,001209963	0,012578609	-3,25867E-06	0,000122891	4,25277E-05	0,000796462	2,92388E-05	0,001106142	-5,79612E-05	2,25922E-05	-3,06009E-05	0,003225339	0,004988167	0,000524744	0,000665267	5,83275E-05	-3,10034E-05	2,66215E-05	0	0,000696593	-5,56095E-07	6,49048E-05	0,000266231	8,76571E-05	0,002323865	3,30816E-05	0,00260351	0,001725696	0,000909395
43	180	S	F2	SF2	H3	H	A	0,8	SF2H3A	NA	Larvae	0,001703347	0,002858149	0,003821133	0,034909106	0,000650405	0,001097322	0,000232555	0,002155859	0,017500477	5,44599E-06	0,000167276	0,000163294	0,001203083	2,7099E-05	0,001068612	5,25192E-05	0,000179838	-2,10265E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
44	181	S	F2	SF2	L6	L	NoA	0,3	SF2L6NA	NA	Larvae	0,001047587	0,001646507	0,0024011	0,014248402	0,000852733	0,000784009	0,000202501	0,00156295	0,009527706	-3,80631E-07	0,000171942	9,36529E-05	0,001111573	1,85371E-05	0,000781258	-0,000423668	2,98694E-05	-3,64299E-05	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
45	182	S	F2	SF2	L6	L	A	0,5	SF2L6A	NA	Larvae	0,000798215	0,001598743	0,008150541	0,024612325	0,002342275	0,001044373	0,000293954	0,003263576	0,031295269	4,06251E-05	0,000242074	-4,35947E-05	0,002434622	2,17439E-05	0,002403008	-0,00019372	3,33959E-05	-8,79799E-05	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
46	183	S	F1	SF1	H3	H	NoA	0,7	SF1H3NA	NA	Larvae	0,000842223	0,001279952	0,005771934	0,038155714	0,001340593	0,001429113	0,000206259	0,003753702	0,029996888	4,05012E-05	0,000224352	0,000206278	0,002185207	4,50829E-05	0,001645517	-2,63366E-06	-5,80721E-07	1,03135E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
47	184	S	F1	SF1	H2	H	NoA	0,8	SF1H2NA	NA	Larvae	0,001485238	0,002342608	0,002945715	0,019590716	0,00097617	0,000919282	0,00024419	0,001646249	0,015090388	6,44669E-07	0,000164971	-2,96986E-05	0,001116596	3,14391E-05	0,001031252	-5,46969E-05	7,76844E-05	-4,27594E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
48	185	S	F2	SF2	L4	L	NoA	1	SF2L4NA	NA	Larvae	0,00161371	0,002658163	0,002582738	0,037657262	0,000814562	0,000295083	0,000218237	0,000865791	0,011651625	-1,45907E-05	0,000168636	8,27502E-05	0,000680231	2,32012E-05	0,000976658	4,71432E-05	1,76926E-05	-2,53572E-05	0,002634367	0,003785722	0,000483821	0,001174254	8,24519E-05	4,6878E-06	1,59931E-05	0	0,001030618	1,87258E-06	0,000128408	0,00049988	0,000202875	0,001257259	0,000188853	0,002473921	0,000507819	0,003139919
49	186	S	F2	SF2	H2	H	A	0,5	SF2H2A	NA	Larvae	0,001218632	0,001901963	0,00748837	0,034295639	0,000526256	0,003712344	0,000285743	0,005708586	0,022414243	3,69482E-06	0,000400516	0,001497958	0,002704828	7,06977E-05	0,000926661	-0,00013734	7,90408E-06	-2,33242E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
50	187	S	F2	SF2	L4	L	A	0,7	SF2L4A	NA	Larvae	0,001703534	0,002776168	0,003881784	0,038485509	0,001115126	0,002026785	0,000343792	0,002602182	0,023346693	1,90566E-05	0,000387091	0,000153658	0,001454936	4,76586E-05	0,001138329	-0,000239502	1,42887E-05	-1,52025E-06	0,002634367	0,003785722	0,000483821	0,001174254	8,24519E-05	4,6878E-06	1,59931E-05	0	0,001030618	1,87258E-06	0,000128408	0,00049988	0,000202875	0,001257259	0,000188853	0,002473921	0,000507819	0,003139919
51	188	S	F2	SF2	H9	H	A	0,8	SF2H9A	NA	Larvae	0,000884773	0,001502308	0,003525723	0,026701054	0,000856048	0,000637443	0,000171612	0,002849823	0,019945092	-1,10224E-05	0,000240532	0,000183226	0,001480903	5,2647E-05	0,000969011	-1,4971E-05	3,68471E-06	-1,08071E-05	0,003225339	0,004988167	0,000524744	0,000665267	5,83275E-05	-3,10034E-05	2,66215E-05	0	0,000696593	-5,56095E-07	6,49048E-05	0,000266231	8,76571E-05	0,002323865	3,30816E-05	0,00260351	0,001725696	0,000909395
