Sample_ref	Plant_genotype	Plant_line	Time	Tube	b-Glucose	a-Glucose	Sucrose	Alanine	Glutamate	Glutamine	Threonine	Valine	Arginine	Lysine	Formic acid	Acetic acid	Fumaric acid	Adenine	Choline	Ethanol & Ethyl - b - glucoside	Verbascoside	Aucubin	Catalpol
Plantago_Juhis_490-551.490.fid	H9	H	1	490	0,065493887	0,043877879	0,02031553	0,004922393	0,010832397	-4,27877E-05	0,020471108	0,000994798	0,008253649	0,01191532	0,000837329	0,000529558	0,001378266	7,47064E-05	0,026175819	0,002233468	0,015227479	0,025590585	0,041128009
Plantago_Juhis_490-551.491.fid	H9	H	4	491	0,018868035	0,020259293	0,030107406	0,011430247	0,027052306	0,005141208	0,011860481	0,005160736	0,020616295	0,023418001	4,66676E-05	0,009391909	0,001042128	1,76536E-05	0,025191757	0,002950182	0,037363336	0,089904257	0,108134095
Plantago_Juhis_490-551.492.fid	H9	H	6	492	0,016861222	0,020829916	0,029004885	0,005424632	0,009065158	0,00132274	0,011111325	-0,000740505	0,009471033	0,011520435	0,000207086	0,00141372	0,002104252	-3,55471E-05	0,019838448	0,003261614	0,050734416	0,077932434	0,091121508
Plantago_Juhis_490-551.493.fid	H9	H	9	493	0,019578403	0,020178917	0,019419412	0,008534031	0,017450427	-0,000120713	0,00797756	0,000613725	0,014319097	0,016303953	0,000138367	0,003331739	0,002787594	1,3696E-05	0,021616784	0,004817056	0,055269544	0,077329568	0,100154595
Plantago_Juhis_490-551.494.fid	H9	H	12	494	0,018475159	0,021314737	0,020562092	0,014295096	0,027460227	0,003284206	0,011204728	0,002031805	0,008190705	0,00998988	0,000201074	3,4007E-05	0,006831703	4,33301E-05	0,019931158	0,005814135	0,044210215	0,081049284	0,09381527
Plantago_Juhis_490-551.495.fid	H9	H	15	495	0,011116047	0,014476171	0,02110668	0,015058678	0,02510427	0,005684291	0,010732782	0,005490393	0,011519559	0,015613636	2,18565E-05	0,001522039	0,022134366	4,63961E-05	0,024101653	0,005789139	0,032088912	0,054346901	0,037362948
Plantago_Juhis_490-551.496.fid	H9	H	18	496	0,062586685	0,044237806	0,030773232	0,008452984	0,016389031	-4,71214E-05	0,009278993	0,00079455	0,011828562	0,014207106	0,000550707	0,002900014	0,021691204	0,000129681	0,025290859	0,004280552	0,028682442	0,029577372	0,057163436
Plantago_Juhis_490-551.497.fid	H9	H	21	497	0,072643448	0,048249853	0,0212815	0,009228444	0,025125999	0,001384512	0,009244077	-0,000521487	0,008401204	0,010273233	0,000888784	0,002307149	0,010656245	0,000202199	0,0232263	0,002989147	0,020298966	0,029909245	0,065316709
Plantago_Juhis_490-551.498.fid	H9	H	24	498	0,058049146	0,04243379	0,019934495	0,007993401	0,013539471	0,000817376	0,004861072	0,00023689	0,014865656	0,016407052	0,000449668	0,003543671	0,004563268	7,46283E-05	0,026808881	0,000430026	0,028784273	0,03462845	0,078656906
Plantago_Juhis_490-551.499.fid	H9	H	27	499	0,014260138	0,015660268	0,024280122	0,004834213	0,013844232	0,000741587	0,006282428	0,000928919	0,006237245	0,007201793	6,73345E-05	0,000333507	0,011594292	0,00015248	0,019395134	0,000788557	0,03088752	0,091727749	0,076974301
Plantago_Juhis_490-551.521.fid	L4	L	1	521	0,0273304	0,026538472	0,023889344	0,003390204	0,014414728	0,001571365	0,011921113	0,002327687	0,007488203	0,010251138	8,54376E-05	-5,2435E-06	0,001231569	2,59715E-05	0,020962083	0,004295682	0,058782407	0,046343197	0,035243505
